objectid,title,location,description,latitude,longitude,film,object_location,image_alt_text,source
loc-lico6,El Portal Theater,5269 Lankershim Boulevard,Gary and Alana reconnect outside the El Portal Theater in North Hollywood.,34.16706614,-118.3758929,Licorice Pizza,,,
loc-lico7,Mikado Hotel,12600 Riverside Dr,Gary has lunch with Jerry Frick at his restaraunt.,34.15760296,-118.4073302,Licorice Pizza,,,
loc-lico8,Waterbed Store,17037 Ventura Blvd,"Scenes involving Gary's waterbed store were filmed along Devonshire Street in Chatsworth,  the West End Arts District.",34.1604964,-118.504529,Licorice Pizza,,,
loc-lico9,Waterbed Store,West End Arts District,"Scenes involving Gary's waterbed store were filmed along Devonshire Street in Chatsworth,  the West End Arts District.",37.77321875,-122.2771747,Licorice Pizza,,,
loc-lico10,Hot Dog Stand,9039 Lindley Ave,The hot dog stand in Licorice Pizza is now Cupid's Hot Dogs.,34.23514977,-118.5275036,Licorice Pizza,,,
loc-lico11,Gary's House,7902 Goodland Ave,Gary's house can be found in North Hollywood.,34.21428039,-118.4129188,Licorice Pizza,,,
loc-lico12,Alana's House,12801 Miranda St,Alana's house can be found in North Hollywood.,34.17527578,-118.4118941,Licorice Pizza,,,
loc-lico13,Wig Shop,21819 Sherman Way,Mr. Jack sells wigs and waterbeds at this location.,34.2014707,-118.6036046,Licorice Pizza,,,
loc-lico14,Teen-Age Fair,6215 W Sunset Blvd,"Scenes at the Teen-Age Fair where shot at the Hollywood Palladium, where the event actually took place.",34.09855683,-118.3241784,Licorice Pizza,,,
loc-lico15,Police Station,6501 Fountain Ave,Garry is arrested and briefly taken to this police station.,34.09483075,-118.3305043,Licorice Pizza,,,
loc-lico16,Running after Police Station,Cole Pl & Fountain Ave,Gary and Alana run from the police station along this street.,34.09454685,-118.3306477,Licorice Pizza,,,
loc-lico17,Running after Police Station,12755 Burbank Blvd,Gary and Alana run from the police station along this street.,34.17274957,-118.4108962,Licorice Pizza,,,
loc-lico18,Truck Loading,12444 Ventura Blvd,Gary and Alana load a truck at this location for their waterbed business. This location is also seen on the film's poster.,34.14271313,-118.4045134,Licorice Pizza,,,
loc-lico19,Baseball Field Dugout,14230 Magnolia Blvd,Alana talks to her sister Danielle at the Van Nuys/Sherman Oaks Recreation Center.,34.16405694,-118.443358,Licorice Pizza,,,
loc-lico20,Alana's Audition,14115 Magnolia Blvd,Alana auditions for Jack Holden. This scene was filmed at the Church of the Chimes in Sherman Oaks.,34.1659803,-118.4405797,Licorice Pizza,,,
loc-lico21,Victory Blvd & Lindley Ave,Victory Blvd & Lindley Ave,Gary passes by a long line of cars during the oil crisis.,34.1867986,-118.5273481,Licorice Pizza,,,
loc-lico22,Signal Gasoline,18102 Victory Blvd,"Gary runs to this gas station. In reality, it is currently John's Automotive.",34.18637133,-118.5275595,Licorice Pizza,,,
loc-lico23,Jon Peters's House,4450 Balboa Ave,Jon Peters lives at this location.,34.15221221,-118.5044887,Licorice Pizza,,,
loc-lico24,Winding Road near Jon Peters's House,Palo Dr,The winding road through which Alana has to maneuver the moving truck is Palo Drive.,34.15922582,-118.5565883,Licorice Pizza,,,
loc-lico25,Intersection,Ventura Blvd & Genesta Ave,Alana projects that she and Gary can make it to a gas station if she can reach this intersection in the moving truck.,34.15989919,-118.5033057,Licorice Pizza,,,
loc-lico26,Encino Post Office,18034 Ventura Blvd,"After their escape from Jon Peters, Alana sits in front of the Encino Post Office. In reality, this location is  FedEx location.",34.16481483,-118.5256931,Licorice Pizza,,,
loc-magn1,Bryson Apartments,2701 Wilshire Boulevard,One of the scenes in Magnolia's prologues takes place at the Bryson Apartment Hotel.,34.0615868,-118.2823934,Magnolia,,,
loc-magn2,Foxfire Room,12516 Magnolia Boulevard,Quiz Kid Donnie drinks his sorrows away at the Foxfire Room.,34.16480955,-118.4058119,Magnolia,,,
loc-magn3,Magnolia Boulevard,Laurel Canyon and Victory Boulevard,Magnolia derives its title from this street in the San Fernando Valley.,34.18686156,-118.3966933,Magnolia,,,
loc-magn4,Jim's Drive,Reseda Boulevard,Jim drives along Reseda Boulevard in the rain.,34.21224479,-118.5361894,Magnolia,,,
loc-magn5,Solomon & Solomon,7216 Reseda Blvd,Solomon's store was the home of LA Popular Furniture until 2025.,34.20195953,-118.535974,Magnolia,,,
loc-magn6,Apartment Building,4055 Tujunga Ave,"Jim visits this apartment building on his patrol. When he hears gunfire, he slips and loses his own gun.",34.14168918,-118.3793709,Magnolia,,,
loc-magn7,Pharmacy,12626 Riverside Dr,"Linda picks up prescriptions at this pharmacy, which is actually A to Z Pharmacy in North Hollywood.",34.15713568,-118.4080944,Magnolia,,,
loc-magn8,Hotel in Valencia,24500 Town Center Dr,"Frank delivers his ""Seduce and Destroy"" seminar at this hotel in Valencia.",34.41769958,-118.5632344,Magnolia,,,
loc-magn9,Apartment in North Hills,15150 Parthenia St,Jim visits this apartment building on his patrol.,34.22787772,-118.4624832,Magnolia,,,
loc-magn10,Prologue Rooftop,5217 Hollywood Blvd,The rooftop seen in Magnolia's prologue can be found in Hollywood.,34.1021882,-118.3041222,Magnolia,,,
loc-magn11,Big Bear Lake,"Big Bear Lake, CA 92315","In the prologue, a scubadiver is lifted out of the water by a firefighting plane. These scenes take place at Big Bear Lake.",34.2542258,-116.9215663,Magnolia,,,
loc-magn12,Liquor Store,20001 Roscoe Blvd,"Donnie crashes his car into a liquor store. In reality, it is Liquor Stop N Go Supermarket in Winnetka.",34.22081007,-118.5691459,Magnolia,,,
loc-obaa1,Howard Sommerville's House,715 Mundy Dr,"Howard Sommerville lives at this house, where he runs his refugee operation and from which he is kidnapped by Avanti.",31.76081271,-106.4986192,One Battle After Another,,,
loc-obaa2,The Sisters of the Brave Beaver Compound,La Purísima Mission State Historic Park,"Bob heads to the convent of the Sisters of the Brave Beaver to try to find Willa. Lockjaw and his men, however, capture her there. These scenes were filmed at La Purísima Mission State Historical Park.",34.66994648,-120.4206244,One Battle After Another,,,
loc-obaa3,Murphy's Market,4020 Walnut Dr,"On a payphone outside of Murphy's Market, Bob desperately tries to secure a meeting location from the resistance, but he can't remember the series of code words needed to prove his allegiance.",40.76939921,-124.1435149,One Battle After Another,,,
loc-obaa4,Welcome to Anza-Borrego Desert State Park Sign,"Borrego Springs, CA","The film's climactic car chase through the rolling hills of the Anza-Borrego Desert ends atop the ""Texas Dip."" Willa slams on her breaks just out of view of Tim, a member of the Christmas Adventurer's Club, who is pursuing her. Fleeing the parked car to take cover with a gun next to the state park sign, Willa watches on in defense as Tim barrels up the hill and smashes into the car.",33.16938745,-116.2630786,One Battle After Another,,,
loc-obaa5,Eureka High School,1915 J St,"Willa attends her high school dance with some friends. While in the bathroom, Deandra approaches Willa and urges her to escape because troops are on their way to the school to find and capture her. The two barely escape the building before Lockjaw and his men descend.",40.79007664,-124.1585021,One Battle After Another,,,
loc-obaa6,Sensei's Apartment,310 S El Paso St,"Sensei's wife works on the first floor of this building at the Genesis Perfumeria, located in El Paso in real life. Above the perfumeria is an extensive network of apartments the couple uses to hide migrants.",31.75685911,-106.4883799,One Battle After Another,,,
loc-obaa7,Sacramento County Courthouse,720 9th St,"Pat and Perfidia walk into the County Courthouse to plant a second bomb. While inside the building, Lockjaw catches Perfidia setting up the device in a bathroom stall and coerces her to sleep with him.",38.58371727,-121.4946149,One Battle After Another,,,
loc-obaa8,County Administration Building,700 H St,"Mae West plants a bomb in the County Administration Building. Pat and Perfidia are also planting a bomb in a separate building. In the film, Pat says they are three blocks away from each other, when in reality they are right across the street.",38.58304217,-121.4957875,One Battle After Another,,,
loc-obaa9,Parking Lot,2405 Butano Dr,Lockjaw spies on Perfidia through his binoculars as she ties up two security guards in a parking lot.,38.60886305,-121.3801278,One Battle After Another,,,
loc-obaa10,Westward Bank Explosion,561 J St,"The French 75 cause an explosion at ""Westward Bank"" in a brief clip during a montage of the group's aggressive revolutionary tactics. The explosion was created through practical effects due to the building's uninhabited status. Behind the bank is Improv Alley, which was featured during the chase sequence through Downtown Sacramento.",38.58229288,-121.4982483,One Battle After Another,,,
loc-obaa11,Kimpton Sawyer Hotel,560 J St,Exterior shots for Lockjaw's meeting with representatives from the Christmas Adventurers Club were filmed at the Kimpton Sawyer Hotel.,38.58167524,-121.4992772,One Battle After Another,,,
loc-obaa12,Via de la Amistad,Via de la Amistad,The opening shot of One Battle After Another features Perfidia walking across an overpass looking down at Otay Mesa Detention Center. The real Otay Mesa sits under three miles away.,32.55293597,-116.9284298,One Battle After Another,,,
loc-obaa13,Parking Garage,1011 12 St,"After their van crashes while fleeing police officers, several members of the French 75 take off on foot. In an attempt to dodge several cop cars, Perfidia runs down an alley and into a parking garage. This chase is filmed from an overhead shot on Jazz Alley.",38.57933712,-121.490881,One Battle After Another,,,
loc-obaa14,Tower Bridge,Cabaldon Pkwy,"A car carrying Deandra and several other members of the French 75 is seen driving across Tower Bridge, leaving Sacramento, as a squad of police cars drive in the opposite direction into the city.",38.58067931,-121.5083138,One Battle After Another,,,
loc-obaa15,Christmas Adventurer's Club HQ,1341 45th St,The Christmas Adventurers Club meets in an underground HQ at this house in Sacramento.,38.56464202,-121.4485339,One Battle After Another,,,
loc-punc1,Eckhart Auto Body,10101 Canoga Avenue,Barry's toilet-plunger business is actually located at Eckhart Auto Body.,34.25413715,-118.5973965,Punch-Drunk Love,,,
loc-punc2,Mattress Man's Store,390 W Foothill Blvd,"The Mattress Man's store is now currently Just 99¢ & Deals in Pomona, CA.",34.10905803,-117.7530577,Punch-Drunk Love,,,
loc-punc3,Le Petit Chateau,4615 Lankershim Blvd,"The restaurant where Barry takes Lena on a date and beats up the bathroom Le Petit Chateau, now permanently closed.",34.15452865,-118.3685837,Punch-Drunk Love,,,
loc-punc4,Royal Hawaiian Hotel,2259 Kalakaua Avenue,Barry travels to Hawaii and meets up Lena at the Royal Hawaiian Hotel.,21.27759337,-157.8293704,Punch-Drunk Love,,,
loc-punc5,Phone Booth,2270 Kalakaua Ave,Barry calls Lena from a phone booth after he arrives in Hawaii.,21.27877775,-157.8280046,Punch-Drunk Love,,,
loc-punc6,Foster's Freeze,19762 Ventura Blvd,"While being chashed by the Matress Man's henchmen, Barry runs by this Foster's Freeze. ",34.17237914,-118.5637096,Punch-Drunk Love,,,
loc-punc7,Sanwa Bank ATM,19858 Ventura Blvd,The Mattress Man's henchmen threaten Barry and force him to retrieve money from this Sanwa Bank ATM.,34.17222723,-118.5656557,Punch-Drunk Love,,,
loc-punc8,Barry's Apartment,14926 Moorpark St,Barry lives in this apartment complex in Sherman Oaks.,34.15342748,-118.4583568,Punch-Drunk Love,,,
loc-punc9,Honolulu International Airport,"300 Rodgers Boulevard, Honolulu, HI 96819",,21.33274975,-157.9236074,Punch-Drunk Love,,,
loc-mast1,"USS Hornet — Sea, Air and Space Museum",707 W Hornet Ave,This is the Navy vessel Freddie works on in the opening scene of The Master.,37.77286869,-122.3024517,The Master,,,
loc-mast2,USS Potomac,540 Water St,Freddie sneaks onto Lancaster Dodd's ship while docked in San Francisco.,37.79556176,-122.2800536,The Master,,,
loc-mast3,Hillside Elementary School,1581 Le Roy Ave,"The interior shot of Lancaster Dodd's London school at the end of The Master was filmed here. Freddie speaks to Dodd, who is sitting at a wooden desk in front of large floor-to-ceiling windows.",37.88101373,-122.258927,The Master,,,
loc-mast4,Doris's House,619 Winslow St,"Freddie visits Doris at her house in Crockett, CA.",38.05528354,-122.2157891,The Master,,,
loc-mast5,Alden Park,8th St Vallejo CA,Freddie and Doris sit and talk on this park bench.,38.09819435,-122.2711203,The Master,,,
loc-mast6,Admiral's Mansion,1075 Walnut Ave,"Lancaster Dodd's house can be a bit tricky to find, which we'll attempt to better pinpoint.  The house is known as the Captain's Mansion, a former event space on Mare Island in Vallejo, California.  The first challenge is that many houses spanning several blocks on this street look almost identical and are used for similar purposes.  There are subtle differences from house to house, however, be it minor architectural variations, trees and shrubs, views in the background, etc., which do allow for identifying the exact home from the film, To get exactly to The Master house, make sure you arrive at the intersection of Walnut Ave and 8th St on Mare Island and you'll successfully find house, which has the number 822 on the front steps.",38.09725436,-122.271792,The Master,,,
loc-twbb1,Daniel's Mansion,905 Loma Vista Dr,Daniel's house can be found at the Greystone Mansion & Gardens. It originally belonged to Edward Doheny.,34.09227741,-118.4015926,There Will Be Blood,,,
loc-phan1,House of Woodcock,"3 Fitzroy Square, W1T 5HG","Reynolds lives and work in this Fitzroy Square house, which was adapted for filming.",51.52338821,-0.13941856,Phantom Thread,,,
loc-phan2,Unnamed London Restaurant,12 St George's Street W1S 2FB,"This restaurant, which Reynolds frequents, was the original location of Wild Honey in London.",51.512593,-0.143338432,Phantom Thread,,,
loc-phan3,Hotel Victoria,"Station Rd, Robin Hood's Bay, Whitby YO22 4RL",Reynolds and Alma meet at this seaside cafe.,54.4339119,-0.53416714,Phantom Thread,,,
loc-phan4,High Street,"High Street, Lythe",Reynolds speeds down this road on the way to his country home. Lythe Community Shop and Post Office can be seen in the shot.,54.50582645,-0.6944395766,Phantom Thread,,,
loc-phan5,House of Woodcock (rear entrance),3 Grafton Mews,The staff of the House of Woodcock enter through the house's rear entrance on this street.,51.52337507,-0.1389370576,Phantom Thread,,,
loc-phan6,Owlpen Manor,"Owlpen Manor, Uley, Dursley GL11 5BZ, United Kingdom",Owlpen Manor was the filming location for the Woodcocks' country home.,51.68379592,-2.289551825,Phantom Thread,,,
loc-phan7,Kelmscott Manor ,"Kelmscott, Lechlade GL7 3HJ, United Kingdom",Kelmscott Manor served as a major influence for the set of the Woodcocks' country home. ,51.68817183,-1.638385453,Phantom Thread,,,
loc-phan8,High Street,"High Street, Staithes",Reynolds and Alma walk down this street on their way to dinner. ,54.55898591,-0.7924771379,Phantom Thread,,,
loc-phan9,Costume Atelier,"Charing Cross Rd, London WC2H, United Kingdom","This location served as the makeshift workshop for costume designer Mark Bridges. Coincidentally, it is also the former address of the Central St. Martins College of Art and Design.",51.51423436,-0.1298578685,Phantom Thread,,,
loc-phan10,Grandhotel Giessbach,"Giessbach, 3855 Brienz, Switzerland",Reynolds and Alma eat breakfast on the balcony of their room at Grandhotel Giessbach. ,46.73523536,8.023193429,Phantom Thread,,,
loc-phan11,Hotel Bellevue des Alpes,"Kleine Scheidegg, 3823 Wengen, Switzerland",Reynolds sits and reads in front of this hotel as Alma climbs a mountain with other guests. ,46.58533161,7.962194574,Phantom Thread,,,
loc-phan12,Devonshire Hall,"Tower Entrance, Promenade, Blackpool FY1 4BJ, United Kingdom","Blackpool Tower Ballroom serves as the filming location for Devonshire Hall, where Alma attends a New Year's Eve party.",53.81585847,-3.055551371,Phantom Thread,,,
