objectid,parentid,collection,title,creator,film,source,date,description,subject,timestamp,angle,distance,location,movement,lighting,composition,duration,themes,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,latitude,longitude
obaa,,Supporting Materials,One Battle After Another,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/1d0lfj4/alma991019665324204921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",2025,,Missing persons; Revolutionaries,,,,,,,,,,BLU-RAY PZ15.A516 .O53 2025,Image;MovingImage,,eng,,,,,,,,,,
twbb,,Supporting Materials,There Will Be Blood,Paul Thomas Anderson,,"<a href=""https://tripod.brynmawr.edu/permalink/01TRI_INST/vsp7ge/alma991019556561304921"" target=""_blank"" rel=""noopener"">Bryn Mawr: Canaday Library</a>",2007,,,,,,,,,,,,BLU-RAY PZ15.A516 T44 2017,Image;MovingImage,,eng,,,,,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=032429281968/lc.jpg,https://proxy-na.hosted.exlibrisgroup.com/exl_rewrite/syndetics.com/index.php?client=primo&upc=032429281968/lc.jpg,The case for the Blu-ray edition of There Will Be Blood held at Bryn Mawr: Canaday Library.,,,
punc-00039,,Screenshots,PUNC-00039,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: A man sits at a desk on the phone, in the corner of an empty room.",,0:00:39,eye-level,full shot,interior,mobile; handheld,,single shot,long take,location; marginality,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00039/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00039/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00039/tiles/full/300,169/0/default.jpg","A man sits at a desk on the phone, in the corner of an empty room.",,34.20169602,-118.5354566
punc-00144,,Screenshots,PUNC-00144,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: A man stands from his desk.",,0:01:44,eye-level,full shot,interior,mobile; handheld; pan,,single shot,long take,marginality,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00144/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00144/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00144/tiles/full/300,169/0/default.jpg",A man stands from his desk.,,,
punc-00149,,Screenshots,PUNC-00149,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: A man walks across a dark room.",,0:01:49,eye-level,plan américain,interior,mobile; handheld; pan,low key,single shot,long take,marginality,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00149/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00149/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00149/tiles/full/300,169/0/default.jpg",A man walks across a dark room.,,,
punc-00156,,Screenshots,PUNC-00156,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: A man stands in the opening of a garage.",,0:01:56,eye-level,full shot,interior,mobile; handheld; pan; tracking,low key,single shot,long take,marginality,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00156/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00156/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00156/tiles/full/300,169/0/default.jpg",A man stands in the opening of a garage.,,,
punc-00208,,Screenshots,PUNC-00208,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: A man stands outside.",,0:02:08,eye-level; over the shoulder,medium shot,exterior,mobile; handheld; pan; tracking,low key,single shot,long take,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00208/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00208/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00208/tiles/full/300,169/0/default.jpg",A man stands outside.,,,
punc-00212,,Screenshots,PUNC-00212,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: The exit from a side street to a main street.",,0:02:12,eye-level,establishing shot,exterior,mobile; handheld; pan; tracking,low key,,long take,location,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00212/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00212/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00212/tiles/full/300,169/0/default.jpg",The exit from a side street to a main street.,,,
punc-00230,,Screenshots,PUNC-00230,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: A road in the early morning.",,0:02:30,eye-level,long shot,exterior,mobile; handheld; pan; tracking,low key,,long take,marginality; violence,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00230/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00230/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00230/tiles/full/300,169/0/default.jpg",A road in the early morning.,,,
punc-00238,,Screenshots,PUNC-00238,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: A car overturning on a road.",,0:02:38,eye-level,long shot,exterior,mobile; handheld; pan,low key,,long take,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00238/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00238/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00238/tiles/full/300,169/0/default.jpg",A car overturning on a road.,,,
punc-00240,,Screenshots,PUNC-00240,Paul Thomas Anderson,Punch-Drunk Love,,,"A screenshot from the film <em>Punch-Drunk Love</em>, directed by Paul Thomas Anderson. Pictured: A man gasps in shock.",,0:02:40,eye-level,medium shot,exterior,mobile; handheld,,single shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00240/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00240/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00240/tiles/full/300,169/0/default.jpg",A man gasps in shock.,,,
phan-15735,,Screenshots,PHAN-15735,Paul Thomas Anderson,Phantom Thread,,,"A screenshot from the film <em>Phantom Thread</em>, directed by Paul Thomas Anderson. Pictured: Man takes bite of omelette",,1:57:35,eye-level,medium shot,interior,fixed,,dirty single,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/phan/phan-15735/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/phan/phan-15735/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/phan/phan-15735/tiles/full/300,169/0/default.jpg",Man takes bite of omelette,,,
phan-15815,,Screenshots,PHAN-15815,Paul Thomas Anderson,Phantom Thread,,,"A screenshot from the film <em>Phantom Thread</em>, directed by Paul Thomas Anderson. Pictured: Woman watches man eat",,1:58:15,eye-level,close-up,interior,handheld; fixed,,single shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/phan/phan-15815/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/phan/phan-15815/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/phan/phan-15815/tiles/full/300,169/0/default.jpg",Woman watches man eat,,,
phan-15852,,Screenshots,PHAN-15852,Paul Thomas Anderson,Phantom Thread,,,"A screenshot from the film <em>Phantom Thread</em>, directed by Paul Thomas Anderson. Pictured: Man listens intently",,1:58:52,eye-level,close-up,interior,handheld; fixed,,dirty single,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/phan/phan-15852/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/phan/phan-15852/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/phan/phan-15852/tiles/full/300,169/0/default.jpg",Man listens intently,,,
phan-15926,,Screenshots,PHAN-15926,Paul Thomas Anderson,Phantom Thread,,,"A screenshot from the film <em>Phantom Thread</em>, directed by Paul Thomas Anderson. Pictured: Woman smiles",,1:59:26,eye-level,close-up,interior,fixed,,single shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/phan/phan-15926/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/phan/phan-15926/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/phan/phan-15926/tiles/full/300,169/0/default.jpg",Woman smiles,,,
phan-15942,,Screenshots,PHAN-15942,Paul Thomas Anderson,Phantom Thread,,,"A screenshot from the film <em>Phantom Thread</em>, directed by Paul Thomas Anderson. Pictured: Man and woman kiss",,1:59:42,low,close-up,interior,mobile; handheld,,two shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/phan/phan-15942/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/phan/phan-15942/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/phan/phan-15942/tiles/full/300,169/0/default.jpg",Man and woman kiss,,,
inhe-01953,,Screenshots,INHE-01953,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: Man walks toward back of room",,0:19:53,eye-level,medium shot,interior,mobile; tracking,,single shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-01953/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-01953/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-01953/tiles/full/300,169/0/default.jpg",Man walks toward back of room,,,
inhe-02006,,Screenshots,INHE-02006,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: Low shot of banner of red flags",,0:20:06,low,,exterior,fixed,,,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02006/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02006/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02006/tiles/full/300,169/0/default.jpg",Low shot of banner of red flags,,,
inhe-02008,,Screenshots,INHE-02008,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: Man lays down next to dead man",,0:20:08,overhead,medium shot,exterior,fixed,,two shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02008/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02008/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02008/tiles/full/300,169/0/default.jpg",Man lays down next to dead man,,,
inhe-02026,,Screenshots,INHE-02026,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: Man lays down as large group of policemen point guns at him",,0:20:26,,long shot,exterior,fixed,,group shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02026/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02026/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02026/tiles/full/300,169/0/default.jpg",Man lays down as large group of policemen point guns at him,,,
inhe-02038,,Screenshots,INHE-02038,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: Man sits up in front of dead body",,0:20:38,eye-level,medium shot,exterior,mobile; zoom,,two shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02038/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02038/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02038/tiles/full/300,169/0/default.jpg",Man sits up in front of dead body,,,
inhe-02055,,Screenshots,INHE-02055,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: Police man in suit holds hands at waist",,0:20:55,eye-level,medium shot,exterior,fixed,,group shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02055/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02055/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02055/tiles/full/300,169/0/default.jpg",Police man in suit holds hands at waist,,,
inhe-02106,,Screenshots,INHE-02106,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: A cop sits across the table",,0:21:06,low,medium shot,interior,fixed,,dirty single,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02106/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02106/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02106/tiles/full/300,169/0/default.jpg",A cop sits across the table,,,
inhe-02120,,Screenshots,INHE-02120,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: A man stares across the table",,0:21:20,low,medium shot,interior,fixed,,single shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02120/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02120/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02120/tiles/full/300,169/0/default.jpg",A man stares across the table,,,
inhe-02313,,Screenshots,INHE-02313,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: A man wearing a red jacket stands at desk",,0:23:13,low,full shot,interior,fixed,,group shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02313/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02313/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02313/tiles/full/300,169/0/default.jpg",A man wearing a red jacket stands at desk,,,
inhe-02337,,Screenshots,INHE-02337,Paul Thomas Anderson,Inherent Vice,,,"A screenshot from the film <em>Inherent Vice</em>, directed by Paul Thomas Anderson. Pictured: A man speaks",,0:23:37,eye-level,medium shot,interior,fixed,,two shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/inhe/inhe-02337/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02337/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/inhe/inhe-02337/tiles/full/300,169/0/default.jpg",A man speaks,,,
boog-01134,,Screenshots,BOOG-01134,Paul Thomas Anderson,Boogie Nights,,,"A screenshot from the film <em>Boogie Nights</em>, directed by Paul Thomas Anderson. Pictured: A man shuts his bedroom door and reaches for a light switch.",,0:11:34,low,medium shot,interior,mobile; pan; tilt,low key,single shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/boog/boog-01134/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/boog/boog-01134/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/boog/boog-01134/tiles/full/300,169/0/default.jpg",A man shuts his bedroom door and reaches for a light switch.,,,
boog-01203,,Screenshots,BOOG-01203,Paul Thomas Anderson,Boogie Nights,,,"A screenshot from the film <em>Boogie Nights</em>, directed by Paul Thomas Anderson. Pictured: A teenage boy's bedroom.",,0:12:03,low,medium shot,interior,mobile; pan; tilt,,,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/boog/boog-01203/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/boog/boog-01203/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/boog/boog-01203/tiles/full/300,169/0/default.jpg",A teenage boy's bedroom.,,,
boog-01231,,Screenshots,BOOG-01231,Paul Thomas Anderson,Boogie Nights,,,"A screenshot from the film <em>Boogie Nights</em>, directed by Paul Thomas Anderson. Pictured: A teenage boy stands in front of his mirror in his underwear.",,0:12:31,low,,interior,mobile; pan; tilt,,single shot,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/boog/boog-01231/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/boog/boog-01231/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/boog/boog-01231/tiles/full/300,169/0/default.jpg",A teenage boy stands in front of his mirror in his underwear.,,,
boog-01247,,Screenshots,BOOG-01247,Paul Thomas Anderson,Boogie Nights,,,"A screenshot from the film <em>Boogie Nights</em>, directed by Paul Thomas Anderson. Pictured: A gas burner",,0:12:47,,close-up,interior,fixed,,,,,,Image;StillImage,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/boog/boog-01247/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/boog/boog-01247/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/boog/boog-01247/tiles/full/300,169/0/default.jpg",A gas burner,,,
